,Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
3048,2020,BMW,M2,22057 km,Coupe,I-6 cyl,7 Speed Automatic,RWD,Hockenheim Silver Metallic,,,,Premium Unleaded,13.4L/100km,9.6L/100km,73997
3049,2012,BMW,128I,208000 km,Coupe,Straight 6 Cylinder Engine,,RWD,Black,Black,,,Gas,10.8L/100km,7.0L/100km,6000
3050,2006,BMW,7,251025 km,Sedan,8 Cylinder Engine,6 Speed Automatic,RWD,gray,Black,5.0,4,Gas,13.8L/100km,8.7L/100km,6995
3051,2009,BMW,3,232202 km,Coupe,3.0,Automatic,AWD,Black,Black,4.0,2,Gas,12.6L/100km,8.0L/100km,8995
3052,2007,BMW,3,212145 km,Convertible,3.0,Automatic,RWD,Black,Red,,2,Gas,12.5L/100km,7.6L/100km,9995
3053,2014,BMW,X1,188000 km,Wagon,2,Automatic,AWD,Black,Black,5.0,,Gas,9.1L/100km,6.2L/100km,10995
3054,2012,BMW,X5,158000 km,SUV,3,Automatic,AWD,Black,Black,7.0,,Gas,13.1L/100km,8.6L/100km,12995
3055,2012,BMW,X5,185000 km,SUV,3,Automatic,AWD,Grey,Black,5.0,,Diesel,10.8L/100km,7.6L/100km,12995
3056,2018,BMW,340i,74880 km,Sedan,Straight 6 Cylinder Engine,Automatic,AWD,Estoril Blue Metallic,,,,Gas,11.1L/100km,7.5L/100km,39999
3057,2009,BMW,3,125462 km,Coupe,Straight 6 Cylinder,Automatic,AWD,Gray,Brown,4.0,2,Gas,12.6L/100km,8.0L/100km,13000
3058,2014,BMW,4,202000 km,Coupe,4 Cylinder Engine,8 Speed Automatic,AWD,,,4.0,2,Gas,,,14900
3059,2015,BMW,X1,147000 km,Wagon,2,Automatic,AWD,White,Black,5.0,,Gas,10.6L/100km,7.2L/100km,14995
3060,2013,BMW,X5,146560 km,SUV,3.0,Automatic,AWD,Black,Tan,,4,Gas,13.1L/100km,8.6L/100km,14995
3061,2013,BMW,X5,196374 km,SUV,3.0,Automatic,AWD,Sparkling Bronze Metallic,White,7.0,4,Gas,13.1L/100km,8.6L/100km,14995
3062,2015,BMW,X1,127276 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,5.0,4,Gas,,,16898
3063,2015,BMW,5,166000 km,Sedan,2,Automatic,AWD,Black,Black,5.0,,Gas,,,16995
3064,2013,BMW,X5,112190 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Silver,Black,5.0,4,Gas,13.1L/100km,8.6L/100km,17490
3065,2014,BMW,X3,134648 km,SUV,4 Cylinder Engine,Automatic,AWD,Alpine White,Black,5.0,4,Gas,9.5L/100km,7.0L/100km,17990
3066,2019,BMW,X1,39043 km,Wagon,4 Cylinder Engine 2.0L,Automatic,AWD,White,,,4,Gas,10.7L/100km,7.5L/100km,32504
3067,2015,BMW,X3,170089 km,SUV,2.0,Automatic,AWD,Melbourne Red Metallic,Black,,4,Gas,9.8L/100km,7.1L/100km,17995
3068,2013,BMW,3,160000 km,Coupe,Straight 6 Cylinder Engine,6 Speed Manual,AWD,gray,,4.0,2,Gas,10.8L/100km,7.2L/100km,17995
3069,2007,BMW,6,136412 km,Convertible,4.8,Automatic,RWD,,,4.0,,Gas,16.2L/100km,10.0L/100km,17995
3070,2015,BMW,X1,97000 km,SUV,4 Cylinder,8 Speed Automatic,AWD,White,Black,5.0,4,Gas,10.6L/100km,7.2L/100km,18580
3071,2016,BMW,320I,143000 km,Sedan,4 Cylinder Engine,8 Speed Automatic,AWD,Mediterranean Blue Metallic,,,,Gas,10.4L/100km,6.8L/100km,18888
3072,2016,BMW,X1,157850 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,White,Black,5.0,4,Gas,10.7L/100km,7.4L/100km,18990
3073,2014,BMW,X3,106670 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Alpine White,Black,5.0,4,Gas,9.8L/100km,7.1L/100km,18995
3074,2016,BMW,3,104025 km,Sedan,4 Cylinder Engine,8 Speed Automatic,AWD,white,Black,5.0,4,Gas,10.4L/100km,6.8L/100km,18995
3075,2016,BMW,X3,174000 km,SUV,2,Automatic,AWD,White,Brown,5.0,,Diesel,8.6L/100km,6.9L/100km,19888
3076,2023,BMW,2,5863 km,Sedan,4 Cylinder Engine,Automatic,AWD,Skyscraper Grey Metallic,,,4,Gas,10.4L/100km,7.8L/100km,58956
3077,2015,BMW,2,115500 km,Coupe,4 Cylinder,Automatic,AWD,Black,Black,4.0,2,Gas,10.3L/100km,6.7L/100km,19888
3078,2013,BMW,X6,158000 km,SUV,3,Automatic,AWD,Blue,Brown,5.0,,Gas,13.1L/100km,8.6L/100km,19995
3079,2012,BMW,X5,124126 km,SUV,3.0,Automatic,AWD,Gray,Brown,5.0,4,Diesel,10.8L/100km,7.6L/100km,19995
3080,2013,BMW,X5,143000 km,SUV,Straight 6 Cylinder Engine,6 Speed Automatic,AWD,gray,Beige,7.0,4,Diesel,10.7L/100km,7.5L/100km,19995
3081,2015,BMW,4,128500 km,Coupe,4 Cylinder,Automatic,AWD,White,Red,5.0,4,Gas,10.6L/100km,7.2L/100km,20888
3082,2015,BMW,i3,89112 km,Hatchback,39.5L,Automatic,RWD,Gold,Black,,4,Electric,,,20995
3083,2014,BMW,4,87500 km,Coupe,4 Cylinder Engine,8 Speed Automatic,AWD,Melbourne Red Metallic,Black,4.0,2,Gas,,,21750
3084,2015,BMW,5,144322 km,Sedan,2.0L I4,8 Speed Automatic,AWD,Space Grey Metallic,Black,5.0,4,Gas,,,21754
3085,2017,BMW,X1,142604 km,SUV,2.0,Automatic,AWD,Black,Black,,4,Gas,10.5L/100km,7.4L/100km,21798
3086,2020,BMW,X3,25115 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Toronto Red Metallic,Black,5.0,4,Gas,,,79999
3087,2013,BMW,X5,117408 km,SUV,Straight 6 Cylinder Engine,Automatic,AWD,Gray,Black,5.0,4,Diesel,10.7L/100km,7.5L/100km,21990
3088,2016,BMW,4,136000 km,Coupe,2.0,8 Speed Automatic,AWD,White,Red,,2,Gas,10.7L/100km,6.9L/100km,21995
3089,2016,BMW,X3,144000 km,SUV,2,Automatic,AWD,Black,Black,5.0,,Gas,11.1L/100km,8.4L/100km,21995
3090,2014,BMW,X5,181000 km,SUV,3.0,8 Speed Automatic,AWD,White,Brown,5.0,4,Diesel,,,21999
3091,2015,BMW,4,132000 km,Coupe,4 Cylinder Engine,8 Speed Automatic,AWD,White,Black,4.0,2,Gas,10.6L/100km,7.2L/100km,22850
3092,2016,BMW,X1,116022 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Grey,Cream,5.0,4,Gas,10.7L/100km,7.4L/100km,22900
3093,2016,BMW,3,101898 km,Sedan,4 Cylinder Engine,Automatic,AWD,White,Black,5.0,4,Gas,10.5L/100km,6.9L/100km,22990
3094,2017,BMW,3,84391 km,Sedan,2.0,8 Speed Automatic,AWD,Black,Black,,4,Gas,10.2L/100km,7.1L/100km,22995
3095,2015,BMW,5,122000 km,Sedan,4 Cylinder Engine,Automatic,AWD,Grey,Grey,5.0,4,Gas,,,22995
3096,2020,BMW,3,49852 km,Sedan,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Portimao Blue Metallic,,5.0,4,Gas,11.4L/100km,8.3L/100km,57981
3097,2013,BMW,5,139670 km,Sedan,4.4,Automatic,AWD,Milano Beige Metallic,Black,5.0,4,Gas,13.2L/100km,8.3L/100km,23888
3098,2017,BMW,X1,126000 km,SUV,2.0,8 Speed Automatic,AWD,White,Black,5.0,4,Gas,10.5L/100km,7.4L/100km,23950
3099,2014,BMW,4,146593 km,Coupe,3.0,Manual,AWD,Black,Black,,2,Gas,,,23995
3100,2016,BMW,4,153702 km,Sedan,3.0,Automatic,AWD,Blue,Black,,4,Gas,11.9L/100km,7.8L/100km,23995
3101,2017,BMW,3,65000 km,Sedan,4 Cylinder Engine,8 Speed Automatic,AWD,silver,Red,5.0,4,Gas,10.3L/100km,6.9L/100km,24995
3102,2016,BMW,X3,138726 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Black Sapphire Metallic,Black,5.0,4,Gas,12.4L/100km,8.7L/100km,25490
3103,2014,BMW,X5,153000 km,SUV,Straight 6 Cylinder Engine,Automatic,AWD,Gray,Black,5.0,4,Diesel,,,25495
3104,2016,BMW,X5,190069 km,SUV,3.0L 6cyl,8 Speed Automatic,AWD,Silver,Black,5.0,4,Premium Unleaded,13.1L/100km,9.8L/100km,25555
3105,2016,BMW,528i,99000 km,Sedan,4 Cylinder,8 Speed Automatic,AWD,White,Black,5.0,4,Gas,,,25880
3106,2015,BMW,M4,65917 km,Coupe,Straight 6 Cylinder Engine,Automatic,RWD,Black Sapphire Metallic,Black,4.0,2,Gas,,,57995
3107,2017,BMW,328d,72000 km,Sedan,4 Cylinder,8 Speed Automatic,AWD,Black,Black,5.0,4,Diesel,7.9L/100km,5.9L/100km,25880
3108,2017,BMW,X3,127298 km,SUV,2.0L 4cyl,8 Speed Automatic,AWD,,,,4,Premium Unleaded,11.1L/100km,8.4L/100km,25888
3109,2015,BMW,X5,136000 km,SUV,3.0,8 Speed Automatic,AWD,Black,Black,5.0,4,Gas,13.0L/100km,8.9L/100km,25950
3110,2016,BMW,X3,119988 km,SUV,2.0L 4cyl,8 Speed Automatic,AWD,White,Brown,5.0,4,Diesel,8.6L/100km,6.9L/100km,25987
3111,2018,BMW,3,143848 km,Sedan,4 Cylinder Engine,Automatic,AWD,White,Brown,5.0,4,Gas,10.5L/100km,7.4L/100km,25990
3112,2015,BMW,X5,149961 km,SUV,3.0L 6cyl,8 Speed Automatic,AWD,Sparkling Brown Metallic,Black,5.0,4,Premium Unleaded,,,26745
3113,2022,BMW,X6,25228 km,,3.0L 6cyl,8 Speed Automatic,AWD,Grey,Black,,2,Premium Unleaded,,,88980
3114,2016,BMW,X3,126340 km,SUV,2.0L 4cyl,8 Speed Automatic,AWD,Space Grey Metallic,Black,5.0,4,Premium Unleaded,11.2L/100km,8.4L/100km,23688
3115,2018,BMW,X5,79349 km,SUV,6 Cylinder,Automatic,AWD,Ruby Black Metallic,Black,,4,Gas,13.0L/100km,9.8L/100km,39800
3116,2018,BMW,X3,62000 km,SUV,3.0L,Automatic,AWD,Carbon Black Metallic,Black,5.0,4,Gas,11.7L/100km,8.6L/100km,41799
3117,2018,BMW,M2,50055 km,Coupe,6 Cylinder,Automatic,RWD,Alpine White,,,2,Gas,13.1L/100km,9.0L/100km,53800
3118,2021,BMW,X7,23088 km,SUV,6 Cylinder,Automatic,AWD,Dark Graphite Metallic,,,4,Gas,,,108800
3119,2016,BMW,428i,50000 km,Sedan,2.0L,Automatic,AWD,Melbourne Red Metallic,Black,5.0,4,Gas,10.6L/100km,7.2L/100km,32888
3120,2022,BMW,X6,12000 km,SUV,3.0L,Automatic,AWD,Alpine White,,5.0,4,Gas,,,96880
3121,2018,BMW,X1,76074 km,Wagon,4 Cylinder Engine,Automatic,AWD,Black,Black,5.0,4,Gas,10.7L/100km,7.5L/100km,28990
3122,2017,BMW,X1,77000 km,SUV,4 Cylinder,8 Speed Automatic,AWD,Gray,Black,5.0,4,Gas,10.7L/100km,7.4L/100km,26880
3123,2018,BMW,3,141000 km,Sedan,4 Cylinder Engine,8 Speed Automatic,AWD,white,Red,5.0,4,Diesel,7.8L/100km,5.9L/100km,26995
3124,2017,BMW,3,78090 km,Sedan,4 Cylinder Engine,8 Speed Automatic,AWD,Melbourne Red Metallic,Black,5.0,4,Gas,10.5L/100km,7.4L/100km,26999
3125,2018,BMW,X1,93364 km,SUV,2.0,Automatic,AWD,Gray,Black,5.0,4,Gas,10.5L/100km,7.4L/100km,27495
3126,2022,BMW,i4,1220 km,Hatchback,Electric Motor,Automatic,AWD,Sanremo Green Metallic,,5.0,4,Electric,,,95899
3127,2018,BMW,X1,142389 km,SUV,2.0L L4 DOHC 16V,Automatic,AWD,Black,Black,5.0,4,Gas,10.7L/100km,7.5L/100km,27817
3128,2015,BMW,X5,127753 km,SUV,3.0L L6 DOHC 24V,Automatic,AWD,Black,Brown,5.0,4,Gas,,,27823
3129,2018,BMW,430i,120000 km,Coupe,4 Cylinder,Automatic,AWD,Melbourne Red Metallic,Black,4.0,2,Gas,10.5L/100km,7.4L/100km,27880
3130,2017,BMW,X1,58643 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Alpine White,Black,5.0,4,Gas,10.7L/100km,7.6L/100km,27980
3131,2017,BMW,X5,187126 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Black,,7.0,4,Gas,13.0L/100km,9.8L/100km,27990
3132,2018,BMW,X1,100801 km,Wagon,4 Cylinder Engine,Automatic,AWD,White,Black,5.0,4,Gas,10.7L/100km,7.5L/100km,27990
3133,2016,BMW,4,84000 km,Coupe,4 Cylinder Engine,8 Speed Automatic,AWD,white,Black,4.0,2,Gas,10.7L/100km,6.9L/100km,27995
3134,2015,BMW,X5,133524 km,SUV,3.0L I6 DOHC 24V TwinPower Turbo,8 Speed Automatic,AWD,Imperial Blue Metallic,,7.0,4,Gas,13.0L/100km,8.9L/100km,27999
3135,2015,BMW,X5,120600 km,SUV,Straight 6 Cylinder Engine,Automatic,AWD,White,Black,5.0,,Gas,13.1L/100km,8.7L/100km,28000
3136,2018,BMW,340i,74880 km,Sedan,Straight 6 Cylinder Engine,Automatic,AWD,Estoril Blue Metallic,,,,Gas,11.1L/100km,7.5L/100km,39999
3137,2015,BMW,3,92000 km,Sedan,Straight 6 Cylinder Engine,Automatic,AWD,Blue,Black,5.0,4,Gas,11.9L/100km,7.8L/100km,28495
3138,2016,BMW,4,98979 km,Sedan,3.0,Automatic,AWD,Black,Brown,,4,Gas,,,28500
3139,2018,BMW,X1,79598 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Black Sapphire Metallic,,5.0,4,Gas,10.5L/100km,7.4L/100km,28888
3140,2018,BMW,3,90489 km,Sedan,2.0,8 Speed Automatic,AWD,White,Red,5.0,4,Gas,10.2L/100km,7.2L/100km,28888
3141,2018,BMW,328d,75754 km,Sedan,2.0L 4cyl,8 Speed Automatic,AWD,White,Red,5.0,4,Diesel,7.8L/100km,5.9L/100km,28889
3142,2018,BMW,X1,72602 km,Wagon,4 Cylinder Engine,8 Speed Automatic,AWD,Alpine White,,,,Gas,10.5L/100km,7.4L/100km,28990
3143,2018,BMW,X1,76074 km,Wagon,4 Cylinder Engine,Automatic,AWD,Black,Black,5.0,4,Gas,10.7L/100km,7.5L/100km,28990
3144,2018,BMW,3,84571 km,Sedan,248HP 2.0L 4 Cylinder Engine,Automatic,AWD,White,,,4,Gas,10.5L/100km,7.4L/100km,28990
3145,2015,BMW,X5,116724 km,SUV,3.0,Automatic,AWD,Black,Black,,4,Gas,13.0L/100km,8.9L/100km,28995
3146,2018,BMW,X1,66949 km,Wagon,4 Cylinder Engine 2.0L,Automatic,AWD,Blue,Black,,4,Gas,10.5L/100km,7.4L/100km,31899
3147,2018,BMW,X4,131811 km,SUV,2.0,Automatic,AWD,Deep Sea Blue Metallic,Black,,4,Gas,11.8L/100km,8.6L/100km,28995
3148,2016,BMW,5,129000 km,Sedan,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,,,5.0,4,Gas,11.9L/100km,8.1L/100km,28995
3149,2017,BMW,X3,94000 km,SUV,4 Cylinder Engine,Automatic,AWD,Silver,Beige,5.0,4,Gas,11.1L/100km,8.5L/100km,29495
3150,2015,BMW,3,46000 km,Sedan,Straight 6 Cylinder Engine,Automatic,AWD,Blue,Black,5.0,4,Gas,11.9L/100km,7.8L/100km,29895
3151,2016,BMW,4,97000 km,Sedan,3.0,Automatic,AWD,Alpine White,Black,4.0,4,Gas,,,29950
3152,2018,BMW,328d,74127 km,Sedan,4 Cylinder Engine,8 Speed Automatic,AWD,Glacier Silver Metallic,,,,Diesel,7.8L/100km,5.9L/100km,29980
3153,2015,BMW,535i,101887 km,Sedan,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Dark Graphite Metallic,Brown,,,Gas,12.2L/100km,8.1L/100km,29990
3154,2017,BMW,X5,138000 km,SUV,3,Automatic,AWD,Black,Black,5.0,,Gas,13.0L/100km,9.8L/100km,29995
3155,2018,BMW,X1,67681 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,5.0,4,Gas,10.5L/100km,7.4L/100km,29999
3156,2018,BMW,M4,54949 km,Coupe,Straight 6 Cylinder Engine,7 Speed Automatic,RWD,Mineral Grey Metallic,Orange,4.0,2,Gas,13.5L/100km,9.3L/100km,65000
3157,2016,BMW,3,114669 km,Sedan,3.0,Automatic,AWD,Black,Red,,4,Gas,10.9L/100km,7.3L/100km,30598
3158,2018,BMW,330I,58443 km,Sedan,4 Cylinder Engine,8 Speed Automatic,AWD,Black Sapphire Metallic,White,,,Gas,10.2L/100km,7.2L/100km,30888
3159,2019,BMW,X1,96088 km,Wagon,4 Cylinder Engine,Automatic,AWD,Blue,Black,5.0,4,Gas,10.7L/100km,7.6L/100km,30990
3160,2018,BMW,3,91000 km,Sedan,4 Cylinder Engine,8 Speed Automatic,AWD,black,Black,5.0,4,Diesel,7.8L/100km,5.9L/100km,30995
3161,2017,BMW,4,55227 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,White,Black,5.0,4,Gas,10.2L/100km,7.1L/100km,30998
3162,2018,BMW,4-Series,78153 km,Coupe,4 Cylinder Engine,Automatic,AWD,Mineral Grey Metallic,Red,4.0,2,Gas,10.5L/100km,7.4L/100km,30999
3163,2019,BMW,X1,29895 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Jet Black Non-Metallic,,5.0,4,Gas,10.7L/100km,7.5L/100km,31000
3164,2018,BMW,X1,54336 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Jet Black,,5.0,4,Gas,10.5L/100km,7.4L/100km,31810
3165,2013,BMW,335i,44035 km,Convertible,3.0L L6 DOHC 24V,,RWD,White,Red,4.0,2,Gas,10.6L/100km,6.8L/100km,31874
3166,2019,BMW,X1,39043 km,Wagon,4 Cylinder Engine 2.0L,Automatic,AWD,White,,,4,Gas,10.7L/100km,7.5L/100km,32504
3167,2018,BMW,3,28000 km,Sedan,4 Cylinder,Automatic,AWD,White,Black,5.0,4,Gas,10.2L/100km,7.2L/100km,31880
3168,2018,BMW,X3,124699 km,SUV,4 Cylinder,Automatic,AWD,White,Black,5.0,4,Gas,10.8L/100km,8.0L/100km,31888
3169,2018,BMW,X3,125083 km,SUV,4 Cylinder,Automatic,AWD,Phytonic Blue Metallic,Black,5.0,4,Gas,10.8L/100km,8.0L/100km,31888
3170,2018,BMW,X3,118912 km,SUV,4 Cylinder,Automatic,AWD,Phytonic Blue Metallic,Black,5.0,4,Gas,10.8L/100km,8.0L/100km,31888
3171,2017,BMW,X4,113400 km,SUV,6 Cylinder,Automatic,AWD,Long Beach Blue Metallic,Beige,5.0,4,Gas,12.7L/100km,9.1L/100km,31888
3172,2017,BMW,4,58057 km,Sedan,2.0L 4cyl,8 Speed Automatic,AWD,Black,Black,5.0,5,Premium Unleaded,10.5L/100km,7.4L/100km,31900
3173,2014,BMW,4,110000 km,Convertible,Straight 6 Cylinder Engine,Automatic,RWD,Mineral Grey Metallic,Black,4.0,2,Gas,,,31950
3174,2018,BMW,X1,65876 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Alpine White,,5.0,4,Gas,10.5L/100km,7.4L/100km,31990
3175,2019,BMW,X1,65152 km,Wagon,4 Cylinder Engine,8 Speed Automatic,AWD,Jet Black Non-Metallic,,,,Gas,10.7L/100km,7.5L/100km,31990
3176,2023,BMW,2,5863 km,Sedan,4 Cylinder Engine,Automatic,AWD,Skyscraper Grey Metallic,,,4,Gas,10.4L/100km,7.8L/100km,58956
3177,2019,BMW,X1,43000 km,SUV,2.0,Automatic,AWD,Gray,Black,,4,Gas,10.7L/100km,7.5L/100km,31998
3178,2018,BMW,Gran,73976 km,Sedan,4 Cylinder Engine,Automatic,AWD,Sunset Orange Metallic,Black,,,Gas,10.2L/100km,7.2L/100km,31999
3179,2018,BMW,2-Series,36500 km,Coupe,4 Cylinder Engine,Automatic,AWD,White,Black,4.0,2,Gas,9.9L/100km,7.1L/100km,31999
3180,2019,BMW,X3,91300 km,SUV,2.0,Automatic,AWD,Black,Black,5.0,4,Gas,10.8L/100km,8.0L/100km,32788
3181,2017,BMW,X5,125102 km,SUV,Straight 6 Cylinder,Automatic,AWD,Gray,Brown,7.0,4,Gas,13.0L/100km,9.8L/100km,32888
3182,2018,BMW,X2,47876 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Jet Black,,5.0,4,Gas,11.0L/100km,7.7L/100km,32900
3183,2019,BMW,X1,65601 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Mediterranean Blue Metallic,,5.0,4,Gas,10.7L/100km,7.6L/100km,32900
3184,2019,BMW,430i,48900 km,Sedan,4 Cylinder,Automatic,AWD,Alpine White Non-Metallic,Black,5.0,4,Gas,10.5L/100km,7.4L/100km,33880
3185,2018,BMW,4,76500 km,Sedan,2.0,Automatic,AWD,White,,5.0,4,Gas,10.5L/100km,7.4L/100km,33888
3186,2020,BMW,3,49852 km,Sedan,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Portimao Blue Metallic,,5.0,4,Gas,11.4L/100km,8.3L/100km,57981
3187,2019,BMW,4,78205 km,Coupe,2.0,Automatic,AWD,Alpine White Non-Metallic,Red,4.0,2,Gas,10.5L/100km,7.4L/100km,33888
3188,2018,BMW,4,110000 km,Sedan,3.0,Automatic,AWD,Alpine White,Red,5.0,4,Gas,11.1L/100km,7.5L/100km,33888
3189,2016,BMW,X5,99388 km,SUV,STRAIGHT 6 CYLINDER ENGINE,8 Speed Automatic,AWD,WHITE,Black,5.0,4,Gas,13.1L/100km,9.8L/100km,33896
3190,2018,BMW,X3,67929 km,SUV,2.0,Automatic,AWD,Gray,Black,,4,Gas,10.8L/100km,8.0L/100km,33900
3191,2018,BMW,X2,63067 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Alpine White,,5.0,4,Gas,11.0L/100km,7.7L/100km,33980
3192,2018,BMW,4,58000 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,White,Black,5.0,4,Gas,10.2L/100km,7.2L/100km,33988
3193,2018,BMW,4,77800 km,Coupe,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Black,Black,4.0,2,Gas,11.1L/100km,7.5L/100km,34490
3194,2018,BMW,X2,34693 km,Wagon,4 Cylinder Engine,8 Speed Automatic,AWD,Mediterranean Blue Metallic,,,,Gas,11.0L/100km,7.7L/100km,34500
3195,2018,BMW,4,41087 km,Coupe,2.0,Automatic,AWD,White,Red,5.0,2,Gas,10.5L/100km,7.4L/100km,34888
3196,2009,BMW,M3,146691 km,Coupe,4.0L 8cyl,6 Speed Manual,RWD,Black,Beige,,2,Premium Unleaded,15.3L/100km,9.7L/100km,37999
3197,2018,BMW,4,65170 km,Sedan,2.0,Automatic,AWD,Sunset Orange Metallic,Black,5.0,4,Gas,10.5L/100km,7.4L/100km,34888
3198,2015,BMW,X6,132000 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,,,5.0,4,Gas,13.0L/100km,8.9L/100km,34950
3199,2018,BMW,X2,30089 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Mineral Grey Metallic,,5.0,4,Gas,11.0L/100km,7.7L/100km,35510
3200,2019,BMW,4,67300 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,Alpine White Non-Metallic,Black,5.0,4,Gas,10.5L/100km,7.4L/100km,35880
3201,2018,BMW,4,96322 km,Sedan,3.0,Automatic,AWD,Blue,Brown,5.0,4,Gas,11.1L/100km,7.5L/100km,35888
3202,2019,BMW,4,61782 km,Sedan,2.0,Automatic,AWD,Black,Black,5.0,4,Gas,10.5L/100km,7.4L/100km,35888
3203,2018,BMW,440,81725 km,Hatchback,3.0L 6cyl,8 Speed Automatic,AWD,,,5.0,4,Gas,11.4L/100km,7.8L/100km,35888
3204,2017,BMW,X5,138000 km,SUV,Straight 6 Cylinder Engine,Automatic,AWD,Grey,Black,5.0,4,Diesel,10.0L/100km,7.6L/100km,35895
3205,2018,BMW,X4,74797 km,SUV,4 Cylinder Engine,8 Speed Automatic,AWD,Silver,Brown,5.0,4,Gas,11.8L/100km,8.6L/100km,35898
3206,2015,BMW,M4,65917 km,Coupe,Straight 6 Cylinder Engine,Automatic,RWD,Black Sapphire Metallic,Black,4.0,2,Gas,,,57995
3207,2019,BMW,3,64866 km,Sedan,4 Cylinder Engine,Automatic,AWD,White,Black,,4,Gas,,,35980
3208,2018,BMW,4,50677 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,Alpine White,,5.0,4,Gas,10.2L/100km,7.2L/100km,35980
3209,2018,BMW,X5,108432 km,SUV,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,White,Black,5.0,4,Gas,13.0L/100km,9.8L/100km,35995
3210,2017,BMW,X5,113500 km,SUV,2.0,Automatic,AWD,Imperial Blue Metallic,Beige,,4,Electric,10.2L/100km,9.5L/100km,35998
3211,2018,BMW,X5,123094 km,SUV,300HP 3.0L Straight 6 Cylinder Engine,Automatic,AWD,Black,,,4,Gas,13.0L/100km,9.8L/100km,36590
3212,2019,BMW,4,75394 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,Mineral Grey Metallic,,5.0,4,Gas,10.2L/100km,7.2L/100km,36885
3213,2017,BMW,X5,73000 km,SUV,Straight 6 Cylinder Engine,Automatic,AWD,Imperial Blue Metallic,Beige,5.0,4,Gas,13.0L/100km,9.8L/100km,36888
3214,2018,BMW,4,62592 km,Hatchback,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Mineral Grey Metallic,Black,5.0,4,Gas,11.4L/100km,7.8L/100km,36888
3215,2018,BMW,2-Series,69300 km,Convertible,4 Cylinder Engine,Automatic,AWD,Black Sapphire Metallic,White,4.0,2,Gas,10.5L/100km,7.4L/100km,36999
3216,2018,BMW,4,50473 km,Convertible,Straight 6 Cylinder Engine,8 Speed Automatic,AWD,Melbourne Red Metallic,Black,4.0,2,Gas,11.9L/100km,8.1L/100km,44999
3217,2016,BMW,428i,77000 km,Convertible,4 Cylinder Engine,8 Speed Automatic,AWD,Alpine White,Black,,,Gas,11.2L/100km,7.1L/100km,37253
3218,2019,BMW,4,52633 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,Glacier Silver Metallic,Black,5.0,4,Gas,10.5L/100km,7.4L/100km,37500
3219,2019,BMW,4,39950 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,Mineral Grey Metallic,Red,5.0,4,Gas,10.2L/100km,7.2L/100km,37885
3220,2016,BMW,X5,99500 km,SUV,4.4,8 Speed Automatic,AWD,Black,Brown,7.0,4,Gas,15.7L/100km,11.4L/100km,37950
3221,2020,BMW,330I,79614 km,Sedan,2.0L 4cyl,8 Speed Automatic,AWD,Black,Black,,2,Premium Unleaded,9.5L/100km,6.9L/100km,37990
3222,2018,BMW,3,107515 km,Sedan,3.0,Automatic,AWD,Black,Black,,4,Gas,11.1L/100km,7.5L/100km,38498
3223,2019,BMW,4,64592 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,Alpine White Non-Metallic,,5.0,4,Gas,10.5L/100km,7.4L/100km,38510
3224,2019,BMW,4,56277 km,Hatchback,4 Cylinder Engine,8 Speed Automatic,AWD,Black,Red,5.0,4,Gas,10.2L/100km,7.2L/100km,38880
