id,day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
295,296,1017.1,25.1,24.7,23.1,21.4,85.0,81.0,0.0,80.0,25.9,1
296,297,1019.4,27.8,23.3,21.6,16.7,92.0,88.0,0.1,60.0,11.0,1
297,298,1014.7,28.4,25.5,24.0,23.4,89.0,84.0,3.1,60.0,19.8,1
298,299,1015.1,26.2,25.4,24.4,23.6,91.0,88.0,0.1,40.0,39.5,1
299,300,1016.1,29.7,26.3,24.1,23.1,86.0,70.0,5.0,70.0,16.0,1
300,301,1014.7,29.8,25.1,22.1,23.7,82.0,79.0,6.9,80.0,14.6,1
301,302,1015.2,27.8,25.5,24.4,23.6,86.0,88.0,1.2,50.0,8.7,1
302,303,1016.1,26.8,24.6,23.1,19.9,91.0,83.0,4.5,50.0,9.9,0
303,304,1017.1,29.9,25.6,24.4,19.3,93.0,88.0,0.4,40.0,9.1,1
304,305,1016.7,25.9,24.8,23.1,21.4,81.0,84.0,1.1,80.0,14.5,1
305,306,1015.3,28.9,26.6,23.5,23.5,85.0,88.0,2.0,80.0,9.8,1
306,307,1014.4,27.9,25.4,23.4,21.6,86.0,88.0,0.6,70.0,14.7,1
307,308,1015.1,26.2,25.5,23.6,20.5,91.0,81.0,0.8,40.0,16.4,1
308,309,1016.7,29.1,25.4,23.7,19.3,75.0,46.0,9.1,60.0,7.9,0
309,310,1017.5,25.3,21.6,19.7,19.6,82.0,84.0,0.1,70.0,43.8,0
310,311,1016.7,23.3,20.9,18.2,17.4,90.0,84.0,2.4,50.0,20.5,1
311,312,1014.5,22.4,19.3,17.6,13.5,67.0,72.0,6.1,70.0,35.3,0
312,313,1015.1,21.3,18.9,17.2,15.8,86.0,80.0,1.2,70.0,12.8,1
313,314,1020.8,21.4,19.9,17.2,12.9,73.0,82.0,2.4,20.0,39.5,1
314,315,1015.2,21.3,19.3,18.9,18.9,93.0,85.0,0.7,40.0,14.5,1
315,316,1017.9,20.5,20.4,19.9,18.1,88.0,83.0,3.1,70.0,22.9,1
316,317,1018.6,26.7,24.8,22.1,21.4,92.0,90.0,0.2,40.0,19.2,1
317,318,1018.7,23.2,22.5,20.0,20.4,93.0,93.0,0.5,70.0,38.3,1
318,319,1019.7,22.1,20.6,19.3,19.1,90.0,87.0,0.0,50.0,29.8,1
319,320,1018.9,19.2,20.9,19.2,19.4,78.0,38.0,5.7,80.0,36.0,1
320,321,1017.5,25.2,21.6,16.9,18.6,75.0,44.0,6.7,60.0,28.9,1
321,322,1017.7,19.0,17.7,16.9,15.5,77.0,82.0,0.5,70.0,35.8,1
322,323,1019.9,25.8,21.8,20.2,18.4,86.0,89.0,3.4,50.0,22.0,1
323,324,1018.7,20.9,17.0,16.5,14.0,90.0,59.0,4.9,10.0,14.2,0
324,325,1015.6,21.2,19.6,18.7,17.0,93.0,88.0,0.0,60.0,23.5,1
325,326,1019.9,24.7,20.8,19.2,17.3,77.0,53.0,5.0,20.0,11.8,0
326,327,1016.0,21.1,20.1,19.7,18.3,86.0,93.0,0.2,50.0,11.8,1
327,328,1017.1,24.5,18.4,17.2,16.0,65.0,60.0,6.8,60.0,35.3,0
328,329,1022.5,19.3,17.3,16.4,12.8,77.0,94.0,0.0,10.0,24.4,1
329,330,1022.9,20.1,18.4,16.5,12.3,73.0,17.0,3.1,40.0,41.3,0
330,331,1017.9,18.9,16.4,15.1,15.5,78.0,89.0,0.2,40.0,22.8,1
331,332,1024.4,18.8,14.8,12.4,8.5,75.0,43.0,9.1,20.0,39.5,0
332,333,1024.7,17.5,13.7,11.3,6.6,77.0,88.0,0.0,20.0,22.6,1
333,334,1021.4,17.3,13.3,12.9,11.1,87.0,80.0,0.2,30.0,27.3,1
334,335,1018.0,24.3,21.1,19.8,19.6,79.0,69.0,3.3,70.0,30.0,0
335,336,1021.1,21.2,18.8,16.4,16.6,67.0,75.0,5.1,50.0,35.8,0
336,337,1020.8,21.4,18.9,17.2,14.9,75.0,69.0,7.7,40.0,18.0,0
337,338,1023.8,17.6,15.2,14.8,11.4,76.0,49.0,3.9,70.0,35.1,0
338,339,1017.9,20.9,20.6,18.9,19.6,80.0,88.0,4.1,20.0,21.9,1
339,340,1021.2,21.0,19.2,17.4,16.5,82.0,88.0,0.2,50.0,20.9,1
340,341,1019.3,21.3,20.3,19.4,16.0,89.0,75.0,3.1,30.0,25.1,1
341,342,1020.7,18.1,17.2,16.9,7.9,75.0,55.0,6.8,30.0,33.4,0
342,343,1022.6,20.1,17.6,15.3,14.6,79.0,86.0,0.7,60.0,28.7,0
343,344,1020.2,17.2,14.6,12.8,8.1,79.0,87.0,1.8,60.0,32.9,0
344,345,1019.5,22.3,19.9,17.2,16.8,87.0,80.0,0.0,20.0,27.3,1
345,346,1022.0,16.2,15.2,13.5,9.8,88.0,88.0,0.1,20.0,28.4,1
346,347,1022.8,17.6,15.9,14.4,11.1,77.0,85.0,0.0,30.0,20.0,0
347,348,1018.0,17.5,16.3,15.3,14.6,92.0,85.0,1.3,40.0,11.8,0
348,349,1017.9,16.5,16.1,15.1,15.1,83.0,81.0,0.0,60.0,28.8,1
349,350,1022.4,21.3,18.9,16.6,12.9,79.0,70.0,7.9,50.0,19.2,1
350,351,1023.6,18.2,17.9,16.1,12.4,85.0,89.0,0.1,40.0,16.0,0
351,352,1019.0,21.8,18.3,15.8,13.2,89.0,88.0,0.2,40.0,22.5,0
352,353,1017.4,21.3,20.9,19.1,19.9,76.0,88.0,0.3,20.0,30.2,0
353,354,1017.7,20.9,19.3,18.9,18.1,83.0,81.0,0.3,70.0,25.1,1
354,355,1016.7,21.3,18.3,17.1,16.4,79.0,70.0,1.5,40.0,13.9,0
355,356,1020.6,18.7,17.3,16.5,15.0,75.0,81.0,1.5,60.0,25.9,0
356,357,1017.9,22.3,18.8,16.6,17.7,84.0,84.0,5.2,20.0,15.1,1
357,358,1020.3,18.9,16.1,15.3,14.7,75.0,91.0,0.0,70.0,27.4,1
358,359,1023.8,21.4,18.2,17.2,15.5,76.0,48.0,7.7,30.0,14.2,1
359,360,1016.8,21.1,18.8,17.2,18.0,97.0,95.0,0.0,40.0,16.0,1
360,361,1014.3,18.3,17.3,16.3,15.9,93.0,91.0,0.2,50.0,26.9,1
361,362,1012.5,21.0,19.9,18.4,18.0,95.0,95.0,0.0,60.0,36.0,1
362,363,1012.4,21.3,20.9,19.4,19.6,92.0,88.0,0.0,50.0,32.9,1
363,364,1022.2,17.6,16.5,15.7,13.8,76.0,97.0,0.0,60.0,29.8,1
364,365,1013.0,21.0,19.3,17.9,17.3,94.0,88.0,0.1,60.0,42.0,1
365,1,1012.2,17.1,16.1,14.6,14.7,93.0,96.0,0.2,30.0,20.0,1
366,2,1013.4,21.3,20.3,19.7,16.9,96.0,93.0,0.0,50.0,37.0,1
367,3,1012.0,20.8,17.6,15.7,4.8,75.0,88.0,3.8,40.0,29.6,1
368,4,1022.9,16.2,13.3,11.6,12.1,84.0,80.0,0.4,20.0,59.5,1
369,5,1022.4,12.1,13.8,11.2,2.7,75.0,68.0,6.0,70.0,27.6,0
370,6,1015.2,14.3,12.9,11.4,11.1,92.0,100.0,0.0,50.0,15.3,1
371,7,1015.2,17.2,13.7,10.0,12.2,92.0,94.0,0.0,50.0,27.4,1
372,8,1022.6,15.9,11.3,10.8,7.7,81.0,78.0,2.2,20.0,29.6,0
373,9,1019.5,14.3,13.7,11.6,11.2,92.0,100.0,0.0,20.0,28.2,1
374,10,1022.5,14.4,12.4,10.8,12.6,59.0,87.0,0.1,70.0,25.9,1
375,11,1025.6,16.7,12.9,9.6,11.3,75.0,84.0,1.3,60.0,30.2,1
376,12,1021.3,15.5,12.9,10.3,10.0,77.0,96.0,0.0,40.0,24.4,1
377,13,1024.3,17.4,13.6,11.8,8.6,72.0,100.0,0.0,10.0,39.3,0
378,14,1019.0,17.8,16.1,14.8,15.7,98.0,100.0,0.0,50.0,28.6,1
379,15,1022.2,16.5,13.1,11.5,9.7,52.0,60.0,5.3,40.0,13.6,0
380,16,1021.2,15.3,12.6,11.6,10.9,91.0,80.0,2.2,40.0,19.8,1
381,17,1026.4,19.2,14.6,12.6,11.4,72.0,19.0,10.2,20.0,16.5,0
382,18,1023.2,17.6,13.7,9.4,11.0,79.0,88.0,0.0,20.0,20.4,1
383,19,1034.6,11.2,10.4,7.0,3.4,77.0,95.0,0.0,40.0,16.0,1
384,20,1025.3,12.9,8.3,7.5,4.4,47.0,23.0,8.8,10.0,31.8,0
385,21,1020.6,18.6,17.3,15.8,13.0,92.0,92.0,0.0,20.0,23.7,1
386,22,1016.7,17.4,16.6,15.5,13.3,90.0,92.0,0.0,40.0,22.1,1
387,23,1027.4,21.6,18.8,16.3,17.3,65.0,46.0,7.1,60.0,12.8,0
388,24,1015.0,21.6,20.4,20.4,17.4,95.0,88.0,0.5,70.0,20.8,1
389,25,1014.8,22.3,21.2,20.9,19.5,91.0,86.0,0.7,50.0,19.8,1
390,26,1012.7,23.1,21.7,19.8,20.6,92.0,93.0,0.0,190.0,19.2,1
391,27,1019.8,24.7,22.2,20.6,20.8,89.0,86.0,1.6,110.0,15.3,1
392,28,1019.8,24.3,22.5,20.1,15.3,65.0,49.0,6.7,60.0,27.6,0
393,29,1017.8,24.9,20.9,19.6,18.9,82.0,83.0,2.2,50.0,17.5,0
394,30,1014.9,21.3,20.5,20.1,19.3,90.0,93.0,0.0,70.0,40.4,1
395,31,1014.8,21.4,19.3,17.1,17.2,91.0,80.0,0.6,20.0,23.5,1
396,32,1017.8,23.1,22.4,20.8,20.6,79.0,81.0,0.0,50.0,29.8,1
397,33,1022.6,19.6,16.6,14.7,8.3,79.0,95.0,0.2,80.0,28.8,1
398,34,1013.7,22.3,23.0,21.0,20.4,91.0,84.0,0.0,80.0,37.0,1
399,35,1024.1,20.5,17.4,15.4,2.3,77.0,43.0,10.2,40.0,15.1,0
400,36,1013.0,21.3,19.9,17.2,19.6,90.0,84.0,0.2,70.0,25.9,1
401,37,1017.3,24.9,21.6,20.0,18.0,85.0,88.0,0.4,40.0,40.4,1
402,38,1013.0,24.5,22.8,20.9,20.3,86.0,92.0,0.0,70.0,15.7,1
403,39,1015.3,21.9,20.2,19.4,17.8,78.0,83.0,0.0,40.0,20.0,0
404,40,1013.3,21.4,20.8,19.2,18.8,88.0,88.0,0.3,40.0,13.6,1
405,41,1020.8,19.6,17.3,15.7,10.5,87.0,88.0,2.4,30.0,40.8,1
406,42,1020.6,20.6,18.7,16.4,12.9,70.0,88.0,2.5,20.0,23.7,1
407,43,1021.2,24.7,18.9,15.6,9.6,77.0,46.0,8.5,20.0,41.3,0
408,44,1022.5,18.6,14.8,12.7,8.0,79.0,94.0,0.0,20.0,23.4,1
409,45,1016.9,15.9,13.4,11.6,11.2,85.0,89.0,0.0,210.0,38.3,1
410,46,1022.5,19.9,18.2,17.2,14.8,78.0,84.0,0.0,30.0,42.0,1
411,47,1019.9,21.5,19.1,18.2,18.6,81.0,81.0,1.1,50.0,7.9,1
412,48,1013.7,20.4,18.4,17.2,18.0,92.0,95.0,0.0,40.0,14.2,1
413,49,1015.4,20.9,18.6,16.8,16.8,81.0,85.0,2.2,70.0,11.7,1
414,50,1018.7,23.3,20.2,19.2,19.4,78.0,89.0,3.6,90.0,16.7,0
415,51,1017.1,15.2,13.6,11.7,10.0,90.0,100.0,0.0,50.0,27.4,1
416,52,1017.6,18.9,17.1,15.6,13.3,95.0,96.0,0.0,50.0,24.2,1
417,53,1016.0,21.2,19.9,17.1,16.3,93.0,96.0,0.0,50.0,28.9,1
418,54,1017.8,17.4,16.6,14.8,15.5,95.0,100.0,0.0,50.0,23.3,1
419,55,1017.1,16.6,16.5,15.9,15.9,95.0,96.0,0.0,40.0,20.5,1
420,56,1016.8,16.6,15.3,14.9,13.7,97.0,96.0,0.0,50.0,34.8,1
421,57,1012.2,20.4,18.6,17.1,16.6,84.0,83.0,0.4,100.0,15.8,1
422,58,1012.0,25.2,22.2,18.4,17.8,81.0,83.0,0.7,30.0,23.7,1
423,59,1014.6,16.8,15.5,14.6,15.5,97.0,100.0,0.0,40.0,20.9,1
424,60,1018.1,25.9,21.5,19.8,19.6,79.0,51.0,7.9,50.0,8.3,0
425,61,1014.6,25.4,21.6,19.4,17.2,81.0,81.0,4.7,80.0,20.2,1
426,62,1019.2,17.3,16.6,15.3,15.1,95.0,95.0,0.1,50.0,21.6,1
427,63,1019.7,16.5,15.0,12.9,15.5,98.0,100.0,0.0,80.0,40.8,1
428,64,1017.3,25.1,21.6,19.8,19.6,80.0,91.0,0.0,80.0,41.4,1
429,65,1014.8,16.7,15.5,14.4,12.2,93.0,100.0,0.0,70.0,30.2,1
430,66,1021.2,20.8,18.4,15.3,9.8,61.0,19.0,10.6,40.0,14.8,0
431,67,1015.2,20.9,19.3,17.2,16.8,86.0,80.0,2.4,50.0,22.5,1
432,68,1017.1,15.3,13.7,11.5,12.1,96.0,99.0,0.0,40.0,22.0,1
433,69,1022.5,18.7,16.6,14.4,12.1,74.0,40.0,9.1,40.0,16.4,0
434,70,1021.4,21.6,20.8,19.1,19.8,93.0,92.0,0.0,40.0,4.5,1
435,71,1020.6,20.3,18.9,17.6,15.9,74.0,49.0,9.5,40.0,9.2,0
436,72,1014.6,23.8,21.5,19.2,18.9,86.0,87.0,0.4,40.0,8.3,0
437,73,1016.0,25.3,22.9,20.4,18.7,75.0,51.0,9.5,70.0,41.4,0
438,74,1012.5,26.1,23.1,20.1,21.4,91.0,88.0,1.0,50.0,12.4,1
439,75,1017.5,20.6,19.5,18.6,18.6,87.0,75.0,3.9,30.0,20.0,0
440,76,1013.0,26.8,23.1,21.5,19.4,87.0,83.0,0.5,40.0,7.9,1
441,77,1013.0,25.8,23.5,21.6,20.6,82.0,81.0,0.2,80.0,16.7,1
442,78,1017.8,26.9,23.3,23.0,22.0,98.0,88.0,0.3,120.0,19.8,1
443,79,1013.4,27.8,24.4,23.1,22.1,87.0,88.0,1.6,40.0,13.0,1
444,80,1011.4,25.9,22.4,19.7,17.8,89.0,85.0,0.6,100.0,22.3,1
445,81,1011.1,24.9,22.3,20.4,18.0,91.0,86.0,0.1,40.0,18.6,1
446,82,1010.4,21.2,20.9,19.9,19.7,86.0,88.0,0.2,70.0,22.3,1
447,83,1006.5,21.3,18.4,16.1,14.3,86.0,81.0,2.9,60.0,29.8,1
448,84,1016.2,26.8,24.1,23.6,22.8,89.0,89.0,2.5,70.0,29.8,1
449,85,1014.4,26.7,25.4,24.4,23.0,82.0,20.0,10.0,70.0,13.0,0
450,86,1008.9,20.1,19.6,17.4,19.8,95.0,87.0,0.6,70.0,16.1,1
451,87,1011.5,21.7,18.9,16.3,19.4,83.0,88.0,0.3,80.0,28.4,1
452,88,1014.6,27.7,25.5,24.0,22.4,94.0,85.0,3.4,80.0,20.2,1
453,89,1011.2,25.9,23.1,20.6,20.9,86.0,82.0,1.0,70.0,34.0,1
454,90,1013.9,24.6,23.1,22.3,20.9,93.0,85.0,0.1,40.0,20.0,1
455,91,1012.5,28.4,25.5,23.1,22.9,93.0,88.0,0.4,30.0,21.6,1
456,92,1011.4,25.3,23.1,22.3,19.6,90.0,83.0,0.1,80.0,21.5,1
457,93,1013.2,27.8,25.7,23.2,23.4,90.0,88.0,1.2,190.0,20.4,1
458,94,1013.0,27.6,25.9,23.7,22.2,87.0,88.0,0.2,40.0,14.5,1
459,95,1012.5,23.1,22.2,20.4,19.9,91.0,88.0,0.0,40.0,24.4,1
460,96,1008.7,28.3,25.8,24.8,24.5,89.0,89.0,1.1,80.0,14.8,1
461,97,1012.4,28.9,25.5,24.1,23.2,96.0,88.0,1.6,80.0,25.1,1
462,98,1008.4,29.0,26.5,25.1,24.1,91.0,85.0,0.2,80.0,14.8,1
463,99,1016.5,28.8,26.5,24.5,23.1,79.0,83.0,2.6,230.0,20.4,1
464,100,1017.4,28.7,25.8,24.8,23.9,81.0,80.0,1.2,70.0,20.0,1
465,101,1012.5,28.7,25.8,24.0,22.0,76.0,81.0,3.9,80.0,12.8,1
466,102,1014.7,26.8,24.4,23.8,22.3,91.0,77.0,1.1,30.0,21.9,1
467,103,1012.4,26.2,25.5,24.0,21.4,82.0,85.0,2.2,80.0,33.0,1
468,104,1014.4,25.6,21.4,20.5,19.0,80.0,88.0,3.3,80.0,28.8,1
469,105,1008.4,29.1,27.1,25.0,25.1,92.0,88.0,0.6,230.0,13.0,1
470,106,1008.3,30.8,27.9,26.4,25.2,93.0,88.0,0.7,130.0,21.6,1
471,107,1009.5,29.6,27.9,25.3,24.7,83.0,88.0,3.5,180.0,16.9,1
472,108,1008.6,31.2,28.2,26.3,24.2,80.0,83.0,2.1,80.0,28.7,1
473,109,1008.4,29.1,26.9,25.0,25.3,85.0,82.0,2.2,40.0,9.5,1
474,110,1008.1,31.0,28.4,26.3,25.0,85.0,88.0,0.3,220.0,15.3,1
475,111,1011.7,29.9,26.2,25.3,21.3,88.0,81.0,6.8,260.0,15.9,1
476,112,1008.8,28.2,25.2,24.7,22.4,83.0,79.0,3.3,80.0,13.9,1
477,113,1008.3,28.4,26.6,25.4,24.7,84.0,88.0,1.0,190.0,15.4,1
478,114,1012.4,30.4,26.1,24.4,22.1,81.0,88.0,2.5,50.0,14.3,1
479,115,1012.2,26.5,24.9,21.1,19.5,79.0,79.0,6.6,90.0,18.2,1
480,116,1013.3,29.4,25.8,23.1,22.9,86.0,88.0,0.3,20.0,10.2,1
481,117,1012.0,26.5,24.4,23.3,22.2,90.0,88.0,0.6,80.0,37.5,1
482,118,1011.6,26.7,24.8,23.3,22.5,89.0,86.0,1.9,50.0,37.7,1
483,119,1012.0,27.8,25.5,23.9,23.2,89.0,85.0,4.6,70.0,25.1,1
484,120,1007.8,30.1,27.6,26.8,25.0,82.0,79.0,6.9,220.0,25.1,1
485,121,1012.4,26.4,24.9,24.5,22.5,93.0,88.0,0.6,230.0,28.4,1
486,122,1012.7,27.6,25.3,23.2,21.9,92.0,88.0,0.2,90.0,15.9,1
487,123,1007.9,29.6,26.8,25.8,24.8,86.0,88.0,0.2,220.0,34.3,1
488,124,1013.3,26.5,24.9,24.0,21.2,94.0,88.0,1.0,40.0,28.6,1
489,125,1011.0,31.0,28.2,26.1,23.8,93.0,74.0,2.0,25.0,28.4,1
490,126,1011.4,26.4,24.8,23.3,21.9,90.0,88.0,0.1,80.0,16.7,1
491,127,1008.6,28.2,25.4,24.0,22.0,87.0,82.0,3.8,90.0,22.0,1
492,128,1013.0,29.2,26.1,24.8,25.6,84.0,83.0,2.4,220.0,26.8,1
493,129,1007.1,30.4,27.8,24.1,25.7,87.0,88.0,0.9,230.0,13.2,1
494,130,1008.9,27.6,26.9,24.3,25.8,85.0,87.0,0.3,80.0,12.1,1
495,131,1008.9,29.7,27.8,26.9,25.9,87.0,81.0,1.6,190.0,9.8,1
496,132,1012.3,32.6,26.3,23.9,24.7,90.0,88.0,1.0,80.0,25.9,1
497,133,1007.9,31.0,29.1,26.6,25.0,78.0,88.0,6.8,220.0,22.0,1
498,134,1011.6,31.6,28.4,26.4,26.4,78.0,69.0,7.4,220.0,8.3,0
499,135,1006.5,33.3,29.0,27.8,26.0,79.0,72.0,8.5,230.0,30.2,1
500,136,1008.2,33.3,30.2,28.7,25.4,82.0,59.0,9.8,230.0,15.2,1
501,137,1007.8,32.9,29.0,27.8,26.4,81.0,78.0,8.8,220.0,17.2,1
502,138,1007.5,30.9,28.1,27.3,26.3,85.0,88.0,0.4,170.0,18.0,1
503,139,1008.8,31.9,28.6,26.4,25.2,89.0,88.0,0.7,220.0,24.2,1
504,140,1008.4,33.5,26.7,24.8,23.2,70.0,49.0,11.5,70.0,12.8,0
505,141,1006.1,32.7,29.4,27.6,26.7,88.0,84.0,2.3,230.0,31.9,1
506,142,1009.3,29.0,26.7,24.7,22.3,72.0,40.0,8.8,10.0,6.9,0
507,143,1008.9,32.3,30.3,27.1,25.4,78.0,54.0,10.4,220.0,23.2,0
508,144,1008.6,33.0,30.1,28.4,24.1,78.0,46.0,11.5,170.0,20.5,0
509,145,1004.8,31.1,28.6,26.9,25.8,89.0,88.0,0.3,230.0,30.5,1
510,146,1008.4,33.1,30.1,27.0,24.4,78.0,29.0,10.5,200.0,23.9,0
511,147,1004.2,31.8,28.2,26.1,24.8,84.0,74.0,6.7,220.0,11.2,1
512,148,1008.9,29.6,27.2,25.8,25.4,70.0,78.0,4.1,250.0,9.1,1
513,149,1009.9,30.8,28.2,24.5,26.7,86.0,88.0,1.5,220.0,17.2,1
514,150,1009.8,32.1,29.0,28.7,25.4,79.0,70.0,8.7,230.0,43.8,0
515,151,1008.6,34.0,30.3,27.8,24.3,74.0,25.0,10.5,250.0,9.1,0
516,152,1008.4,33.0,30.6,28.2,25.6,81.0,60.0,7.8,10.0,43.8,1
517,153,1009.8,32.0,29.8,28.5,25.3,76.0,20.0,10.2,220.0,35.3,0
518,154,1007.8,34.0,30.1,28.1,25.9,78.0,55.0,10.2,200.0,9.1,1
519,155,1008.5,32.0,30.2,28.1,26.3,75.0,40.0,9.0,270.0,16.2,0
520,156,1006.3,28.4,27.9,26.2,25.4,90.0,83.0,0.0,230.0,20.0,1
521,157,1009.6,31.9,30.2,28.7,25.0,93.0,80.0,0.4,190.0,39.7,1
522,158,1006.5,33.8,30.0,27.4,23.1,80.0,49.0,11.2,20.0,26.1,0
523,159,1009.8,30.0,27.9,26.4,26.7,87.0,83.0,2.6,220.0,38.0,1
524,160,1005.7,33.0,30.0,28.4,25.9,80.0,88.0,1.0,220.0,12.8,1
525,161,1005.1,33.3,30.5,28.0,26.0,86.0,84.0,4.6,220.0,21.9,1
526,162,1008.1,33.3,30.6,27.8,24.8,78.0,68.0,9.6,220.0,11.0,1
527,163,1006.8,35.4,31.0,27.0,26.4,78.0,53.0,7.8,230.0,14.3,1
528,164,1007.9,33.2,30.8,28.1,24.8,79.0,60.0,9.7,80.0,22.6,0
529,165,1007.9,35.3,31.0,28.0,26.0,72.0,28.0,10.1,220.0,24.9,0
530,166,1008.1,32.2,29.1,26.1,26.1,80.0,72.0,7.8,230.0,18.4,1
531,167,1008.5,32.3,29.6,27.4,25.0,76.0,74.0,6.6,220.0,20.0,1
532,168,1008.3,32.4,29.9,28.0,24.7,75.0,48.0,10.0,240.0,11.3,0
533,169,1005.4,30.6,27.5,26.4,25.9,89.0,88.0,2.3,240.0,15.2,1
534,170,1003.2,32.4,29.4,27.6,26.2,79.0,84.0,6.2,230.0,9.6,1
535,171,1008.0,32.9,30.1,29.0,25.9,74.0,30.0,8.6,240.0,22.5,1
536,172,1000.2,33.6,30.5,28.2,26.3,78.0,61.0,9.0,80.0,13.6,0
537,173,1008.1,31.0,28.6,27.8,26.2,92.0,86.0,0.3,160.0,12.5,1
538,174,1008.1,33.8,30.6,27.2,25.2,84.0,85.0,2.0,190.0,12.8,1
539,175,1008.9,32.3,29.0,27.0,26.0,86.0,88.0,1.0,230.0,19.7,1
540,176,1008.6,32.2,29.0,26.4,25.3,82.0,79.0,1.4,220.0,13.3,1
541,177,1008.1,30.6,28.2,24.8,25.8,89.0,85.0,0.3,190.0,17.3,1
542,178,1008.9,31.6,29.1,27.2,25.2,88.0,88.0,0.3,220.0,15.8,1
543,179,1009.9,33.0,30.4,29.0,26.0,82.0,67.0,7.7,230.0,30.2,1
544,180,1007.2,30.9,28.9,26.4,25.9,85.0,85.0,1.0,220.0,11.8,1
545,181,1009.5,30.9,28.0,26.1,25.7,86.0,84.0,1.7,250.0,11.8,1
546,182,1008.5,33.3,30.2,26.8,25.1,77.0,72.0,10.4,220.0,14.8,1
547,183,1008.1,33.3,30.0,28.4,26.0,79.0,84.0,3.5,220.0,27.3,1
548,184,1007.8,31.2,29.4,28.2,25.8,84.0,87.0,0.3,240.0,14.2,1
549,185,1008.0,32.0,29.7,28.4,24.9,72.0,70.0,9.1,230.0,12.5,1
550,186,1010.3,33.2,29.0,26.5,24.8,77.0,55.0,10.0,270.0,14.6,1
551,187,1008.6,31.3,29.0,27.0,25.4,84.0,83.0,3.2,230.0,8.9,1
552,188,1007.8,32.4,30.0,27.9,26.3,75.0,67.0,10.1,220.0,14.5,1
553,189,1008.5,32.8,29.2,26.4,25.4,84.0,83.0,8.1,230.0,15.4,0
554,190,1005.9,34.0,30.6,28.4,25.8,78.0,73.0,10.7,210.0,12.7,0
555,191,1009.1,32.9,30.1,28.1,25.7,79.0,72.0,6.0,200.0,9.5,1
556,192,1007.7,31.8,28.2,26.6,24.8,81.0,88.0,1.3,50.0,12.8,1
557,193,1008.2,33.3,30.6,27.6,25.3,77.0,79.0,10.2,230.0,20.0,0
558,194,1008.5,33.7,30.2,28.7,24.6,72.0,44.0,6.0,230.0,13.9,0
559,195,1008.1,33.4,30.8,28.0,25.3,74.0,29.0,9.1,240.0,14.2,0
560,196,1008.9,32.8,30.1,28.9,24.3,78.0,21.0,11.1,210.0,11.1,0
561,197,1009.3,33.2,30.4,28.4,24.3,75.0,53.0,10.0,220.0,10.3,0
562,198,1006.9,32.6,30.2,28.0,24.4,82.0,62.0,11.1,220.0,16.9,0
563,199,1008.9,32.3,29.1,27.0,24.1,78.0,57.0,10.3,220.0,16.2,1
564,200,1009.2,33.4,30.1,27.9,25.2,71.0,35.0,11.2,110.0,12.0,0
565,201,1007.8,36.0,30.0,28.1,25.9,79.0,78.0,10.6,200.0,12.0,1
566,202,1011.0,31.2,28.8,26.8,25.0,75.0,53.0,8.3,220.0,6.9,0
567,203,1008.4,33.0,29.1,25.3,24.8,74.0,47.0,10.1,20.0,12.6,1
568,204,1009.1,32.8,30.0,29.2,24.6,74.0,53.0,8.2,290.0,25.1,0
569,205,1008.8,31.3,29.2,26.4,24.3,67.0,46.0,8.1,230.0,18.1,1
570,206,1008.9,30.8,27.3,26.3,25.8,85.0,83.0,1.6,220.0,6.1,1
571,207,1009.5,32.0,29.1,26.4,25.1,70.0,43.0,10.3,180.0,13.0,1
572,208,1005.3,35.8,31.1,26.7,26.0,77.0,49.0,9.5,220.0,21.5,0
573,209,1008.9,33.2,29.1,26.6,24.1,71.0,46.0,6.4,230.0,9.5,1
574,210,1008.9,33.2,29.6,27.8,26.1,81.0,78.0,3.1,190.0,6.1,1
575,211,1009.8,31.7,29.8,26.8,24.3,84.0,67.0,3.0,120.0,10.2,1
576,212,1008.6,31.9,28.7,26.3,25.9,86.0,88.0,1.2,230.0,21.6,1
577,213,1005.6,31.7,29.8,26.8,26.0,80.0,80.0,0.9,130.0,24.8,1
578,214,1008.5,29.0,27.8,26.0,25.8,89.0,88.0,0.9,70.0,17.5,1
579,215,1007.5,33.4,30.7,27.3,26.1,79.0,83.0,2.8,220.0,23.9,1
580,216,1005.9,30.7,27.9,26.6,24.3,84.0,78.0,7.6,220.0,14.8,1
581,217,1003.5,30.6,27.9,26.2,23.6,82.0,84.0,1.5,80.0,12.0,1
582,218,1005.9,30.6,28.0,26.3,23.3,77.0,47.0,8.8,130.0,10.2,1
583,219,1005.8,31.2,28.0,25.4,24.1,76.0,53.0,9.5,10.0,12.9,1
584,220,1000.2,33.1,30.4,27.3,25.9,77.0,43.0,9.3,60.0,10.2,0
585,221,1007.5,33.1,29.8,27.4,26.0,79.0,77.0,2.3,190.0,9.5,0
586,222,1007.8,28.1,26.7,25.0,24.2,84.0,67.0,6.5,270.0,15.3,1
587,223,1008.1,33.2,30.0,28.1,25.9,78.0,69.0,8.7,220.0,11.1,0
588,224,1008.4,32.3,29.0,27.8,25.8,82.0,67.0,7.7,110.0,14.5,1
589,225,1008.9,32.8,30.6,27.3,24.5,81.0,88.0,6.8,220.0,7.9,1
590,226,1011.7,31.0,28.4,26.6,26.0,76.0,69.0,5.3,250.0,12.8,1
